2026-05-13 20:22:02,730 | INFO    | jobintel | Starting parallel scrape with 15 keywords, 0 extra URLs
2026-05-13 20:22:02,769 | INFO    | jobintel | Adzuna keys not set — skipping.
2026-05-13 20:22:03,012 | INFO    | jobintel | remoteok 98 jobs
2026-05-13 20:22:03,070 | INFO    | jobintel | greenhouse[airbnb] 203 jobs
2026-05-13 20:22:03,148 | INFO    | jobintel | greenhouse[stripe] 370 jobs
2026-05-13 20:22:03,338 | INFO    | jobintel | greenhouse[robinhood] 127 jobs
2026-05-13 20:22:03,773 | INFO    | jobintel | greenhouse[figma] 135 jobs
2026-05-13 20:22:04,311 | INFO    | jobintel | greenhouse[instacart] 121 jobs
2026-05-13 20:22:04,969 | INFO    | jobintel | lever[netflix] 0 jobs
2026-05-13 20:22:05,274 | INFO    | jobintel | lever[attentive] 0 jobs
2026-05-13 20:22:06,372 | WARNING | jobintel | fetch_json failed for https://api.lever.co/v0/postings/ramp?mode=json: Cannot send a request, as the client has been closed.
2026-05-13 20:22:06,794 | INFO    | jobintel | ashby[openai] 539 jobs
2026-05-13 20:22:06,795 | WARNING | jobintel | fetch_json failed for https://api.lever.co/v0/postings/benchling?mode=json: Cannot send a request, as the client has been closed.
2026-05-13 20:22:07,134 | WARNING | jobintel | fetch_json failed for https://arbeitnow.com/api/job-board-api: RetryError[<Future at 0x116e29910 state=finished raised HTTPStatusError>]
2026-05-13 20:22:07,831 | INFO    | jobintel | ashby[vanta] 87 jobs
2026-05-13 20:22:07,873 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/plaid/jobs?content=true: RetryError[<Future at 0x116b020a0 state=finished raised HTTPStatusError>]
2026-05-13 20:22:08,151 | INFO    | jobintel | ashby[posthog] 14 jobs
2026-05-13 20:22:08,855 | INFO    | jobintel | ashby[ramp] 108 jobs
2026-05-13 20:22:08,905 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/doordash/jobs?content=true: RetryError[<Future at 0x1166c2070 state=finished raised HTTPStatusError>]
2026-05-13 20:22:09,111 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/coinbase/jobs?content=true: RetryError[<Future at 0x116fc8fa0 state=finished raised HTTPStatusError>]
2026-05-13 20:22:10,339 | INFO    | jobintel | ashby[linear] 0 jobs
2026-05-13 20:22:11,258 | INFO    | jobintel | remotive 180 jobs
2026-05-13 20:22:11,258 | WARNING | jobintel | Scraper error: year 55205 is out of range
2026-05-13 20:22:11,258 | INFO    | jobintel | Total fetched (pre-filter): 1814
